 PID  USER         PR NI  VIRT  RES  SHR S %CPU   %MEM  TIME+   COMMOND
 5366 u0_a188      10 -10 1.6G  36M  19M S 93.0   1.3   0:00.10 com.dozengame.m+
 5366 u0_a188      10 -10 1.6G  63M  40M D 88.0   2.3   0:01.03 com.dozengame.m+
 5366 u0_a188      10 -10 1.7G  80M  50M S 53.0   2.9   0:01.91 com.dozengame.m+
 5685 u0_a188      20   0 1.6G  37M  21M S 27.0   1.3   0:00.08 com.dozengame.m+
 5366 u0_a188      10 -10 1.7G  91M  54M S 20.0   3.3   0:02.44 com.dozengame.m+
 5366 u0_a188      10 -10 1.7G 109M  67M S 39.0   4.0   0:02.64 com.dozengame.m+
 5685 u0_a188      20   0 1.6G  45M  27M S 38.0   1.6   0:00.35 com.dozengame.m+
 5366 u0_a188      10 -10 1.8G 111M  73M S 64.0   4.1   0:03.03 com.dozengame.m+
 5685 u0_a188      20   0 1.6G  49M  31M S 21.0   1.8   0:00.73 com.dozengame.m+
 5366 u0_a188      10 -10 1.8G 147M 103M S 48.0   5.4   0:03.67 com.dozengame.m+
 5685 u0_a188      20   0 1.6G  50M  32M S 24.0   1.8   0:00.94 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 167M 119M S 43.0   6.2   0:04.15 com.dozengame.m+
 5685 u0_a188      20   0 1.6G  51M  33M S  2.0   1.8   0:01.18 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 183M 129M S 73.0   6.7   0:04.58 com.dozengame.m+
 5685 u0_a188      20   0 1.6G  51M  33M S 16.0   1.8   0:01.20 com.dozengame.m+
 5366 u0_a188      10 -10 2.0G 210M 151M S 21.0   7.8   0:05.31 com.dozengame.m+
 5366 u0_a188      10 -10 2.0G 211M 150M S 11.0   7.8   0:05.52 com.dozengame.m+
 5685 u0_a188      20   0 1.6G  52M  35M S  6.0   1.9   0:01.37 com.dozengame.m+
 5366 u0_a188      10 -10 2.0G 209M 150M S 14.0   7.7   0:05.63 com.dozengame.m+
 5366 u0_a188      10 -10 2.0G 210M 150M S 90.0   7.8   0:05.77 com.dozengame.m+
 5366 u0_a188      10 -10 2.0G 237M 161M S 76.0   8.8   0:06.67 com.dozengame.m+
 5366 u0_a188      10 -10 2.0G 279M 195M S 74.0  10.3   0:07.43 com.dozengame.m+
 5685 u0_a188      20   0 1.6G  52M  35M S  2.0   1.9   0:01.43 com.dozengame.m+
 5685 u0_a188      20   0 1.6G  52M  35M D  2.7   1.9   0:01.45 com.dozengame.m+
 5685 u0_a188      20   0 1.6G  52M  35M S  3.0   1.9   0:01.51 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 186M 140M S  3.0   6.9   0:08.21 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 174M 140M S 30.0   6.4   0:08.24 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 186M 144M S 55.0   6.9   0:08.54 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 209M 166M S 47.0   7.7   0:09.09 com.dozengame.m+
 5685 u0_a188      20   0 1.6G  42M  35M S  3.0   1.5   0:01.54 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 220M 178M S 23.0   8.1   0:09.56 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 220M 180M S 30.0   8.1   0:09.79 com.dozengame.m+
 5685 u0_a188      20   0 1.6G  42M  35M S  1.0   1.5   0:01.57 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 225M 185M S 37.0   8.3   0:10.09 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 227M 188M S 34.0   8.4   0:10.46 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 230M 192M S 39.0   8.5   0:10.80 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 230M 192M S 34.0   8.5   0:11.19 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 230M 192M S 31.0   8.5   0:11.53 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 230M 192M S 25.0   8.5   0:11.84 com.dozengame.m+
 5685 u0_a188      20   0 1.6G  42M  35M S  3.0   1.5   0:01.58 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 230M 192M S 45.0   8.5   0:12.09 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 243M 197M S 37.0   9.0   0:12.54 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 242M 198M S 24.0   8.9   0:12.91 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 242M 199M S 25.0   8.9   0:13.15 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 242M 199M S 25.0   8.9   0:13.40 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 240M 197M R 13.0   8.9   0:13.65 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 238M 197M S 18.0   8.8   0:13.78 com.dozengame.m+
